game_id|game_name|game_info|game_size
General%20Chaos.zip|General Chaos|503.13 KB - Strategy/4p - (c)1994 Electronic Arts|515207
Generations%20Lost.zip|Generations Lost|628.68 KB - Platform/1p - (c)1994 Time Warner Interactive|643767
Genghis%20Khan%20II%20-%20Clan%20of%20the%20Gray%20Wolf.zip|Genghis Khan II: Clan of the Gray Wolf|513.17 KB - Strategy/2p - (c)1993 Koei|525488
Ghostbusters.zip|Ghostbusters|351.48 KB - Run and gun/1p - (c)1990 Sega|359911
Ghouls%20%27n%20Ghosts.zip|Ghouls 'n Ghosts (also known as Daimakaimura)|434.43 KB - Platform/2p - (c)1989 Sega|444861
Gods.zip|Gods|436.68 KB - Platform/1p - (c)1992 Mindscape|447162
Golden%20Axe.zip|Golden Axe|342.66 KB - Beat 'em up/2p - (c)1989 Sega|350881
Golden%20Axe%20II.zip|Golden Axe II|330.39 KB - Beat 'em up/2p - (c)1991 Sega|338323
Granada.zip|Granada|298.44 KB - Shoot 'em up/1p - (c)1990 Renovation Products|305598
Great%20Circus%20Mystery%20Starring%20Mickey%20%26%20Minnie%2C%20The.zip|Great Circus Mystery Starring Mickey & Minnie, The|801.32 KB|820549
Greatest%20Heavyweights.zip|Greatest Heavyweights|1.25 MB - Sports/2p - (c)1994 Sega|1307251
Greendog%20-%20The%20Beached%20Surfer%20Dude%21.zip|Greendog: The Beached Surfer Dude!|387.57 KB - Platform/1p - (c)1992 Sega|396873
Grind%20Stormer.zip|Grind Stormer (also known as V-V)|491.88 KB - Shoot 'em up/1p - (c)1994 Tengen|503686
Growl.zip|Growl (also known as Runark)|262.19 KB - Beat 'em up/1p - (c)1991 Taito|268483
Gunstar%20Heroes.zip|Gunstar Heroes|648.01 KB - Run and gun/2p - (c)1992 Sega|663561
Hacks%2FAdventures%20of%20Batman%20%26%20Robin%2C%20The%20%28Batadvantage%20Mod%29.zip|Adventures of Batman & Robin, The (Batadvantage Mod)|1.15 MB|1200628
Hacks%2FAlien%203%20%28Kinoppi%20version%29.zip|Alien 3 (Kinoppi version)|312.57 KB|320073
Hacks%2FAltered%20Beast%20%28Enhanced%20Colors%29.zip|Altered Beast (Enhanced Colors)|320.21 KB|327892
Hacks%2FArt%20of%20Fighting%20%28Enhanced%20Colors%29.zip|Art of Fighting (Enhanced Colors)|941.26 KB|963853
Hacks%2FBig%27s%20Fishing%20Derby.zip|Big's Fishing Derby|420.68 KB|430777
Hacks%2FCadash%20%28Enhanced%20Colors%29.zip|Cadash (Enhanced Colors)|332.15 KB|340120
Hacks%2FCaptain%20America%20and%20the%20Avengers%20%28Enhanced%20Colors%29.zip|Captain America and the Avengers (Enhanced Colors)|637.08 KB|652375
Hacks%2FCastlevania%20-%20Bloodlines%20%28Enhanced%20Colors%2C%20Expert%20Mode%20and%209%20Lives%29.zip|Castlevania - Bloodlines (Enhanced Colors, Expert Mode and 9 Lives)|696.21 KB|712924
Hacks%2FChaos%20Engine%2C%20The%20%28Enhanced%20Colors%29.zip|Chaos Engine, The (Enhanced Colors)|790.94 KB|809920
Hacks%2FChiki%20Chiki%20Boys%20%28Enhanced%20Colors%29.zip|Chiki Chiki Boys (Enhanced Colors)|496.21 KB|508119
Hacks%2FContra%20-%20Hard%20Corps%20%28Enhancement%29.zip|Contra - Hard Corps (Enhancement)|1.31 MB|1373793
Hacks%2FCrack%20Down%20%28Enhanced%20Colors%29.zip|Crack Down (Enhanced Colors)|222.59 KB|227937
Hacks%2FDarius%20II%20%28Enhanced%20Colors%29.zip|Darius II (Enhanced Colors)|424.13 KB|434312
Hacks%2FDesert%20Strike%20-%20Return%20to%20the%20Gulf%20%28Apache%20Upgrade%29.zip|Desert Strike - Return to the Gulf (Apache Upgrade)|572.58 KB|586325
Hacks%2FDevil%20Crash%20MD%20%28Enhanced%20Colors%29.zip|Devil Crash MD (Enhanced Colors)|380.69 KB|389831
Hacks%2FDouble%20Dragon%20%28Enhanced%20Colors%29.zip|Double Dragon (Enhanced Colors)|241.24 KB|247026
Hacks%2FDr.%20Robotnik%27s%20Creature%20Capture.zip|Dr. Robotnik's Creature Capture|1.84 MB|1926448
Hacks%2FDragon%20Ball%20Z%20-%20Buyuu%20Retsuden%20%28Enhanced%20Colors%29.zip|Dragon Ball Z - Buyuu Retsuden (Enhanced Colors)|1.43 MB|1499001
Hacks%2FDune%20-%20The%20Battle%20for%20Arrakis%20-%20Razor%20Missions.zip|Dune - The Battle for Arrakis - Razor Missions|923.53 KB|945699
Hacks%2FEl%20Viento%20%28Enhancement%29.zip|El Viento (Enhancement)|675.99 KB|692209
Hacks%2FFIFA%20Soccer%202020.zip|FIFA Soccer 2020|1.15 MB|1205968
Hacks%2FFatal%20Fury%202%20%28Enhanced%20Colors%29.zip|Fatal Fury 2 (Enhanced Colors)|1.73 MB|1817388
