game_name|game_ext|game_size
Dead Ritual (World) (Demo) (N64brew Game Jam 2022) (Aftermarket) (Unl)|.zip|1174089
Deadly Arts (USA)|.zip|8813918
Defi au Tetris Magique (France)|.zip|11442957
Densha de Go! 64 (Japan)|.zip|19029468
Derby Stallion 64 (Japan) (Beta) [b]|.zip|25536904
Derby Stallion 64 (Japan)|.zip|20684792
Destruction Derby 64 (Europe) (En,Fr,De)|.zip|12376046
Destruction Derby 64 (USA) (Beta) (1998-07-31)|.zip|10711502
Destruction Derby 64 (USA)|.zip|10287462
Dexanoid (World) (Unl)|.zip|6180038
Dezaemon 3D (Japan)|.zip|9673436
Diddy Kong Racing (Europe) (En,Fr,De) (Rev 1)|.zip|10284503
Diddy Kong Racing (Europe) (En,Fr,De)|.zip|9941289
Diddy Kong Racing (Japan)|.zip|10286908
Diddy Kong Racing (USA) (En,Fr) (Rev 1)|.zip|10284547
Diddy Kong Racing (USA) (En,Fr)|.zip|9941186
Die Hard 64 (USA) (Proto) (Level 1)|.zip|10671734
Die Hard 64 (USA) (Proto) (Level 2)|.zip|10710972
Die Hard 64 (USA) (Proto) (Level 3)|.zip|10197157
Dinosaur Planet (USA) (Proto) (2000-12-01)|.zip|54271934
Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It)|.zip|11773720
Donald Duck - Quack Attack (Europe) (En,Fr,De,Es,It)|.zip|11771473
Donkey Kong 64 (Europe) (En,Fr,De,Es)|.zip|27750971
Donkey Kong 64 (Japan)|.zip|27724395
Donkey Kong 64 (USA) (Demo) (Kiosk)|.zip|18297300
Donkey Kong 64 (USA) (LodgeNet)|.zip|27621233
Donkey Kong 64 (USA)|.zip|27715023
Donsol (World) (Aftermarket) (Unl)|.zip|35381
Doom 64 (Europe)|.zip|7317830
Doom 64 (Japan)|.zip|7324000
Doom 64 (USA) (Beta) (1996-12-10)|.zip|7019310
Doom 64 (USA) (Rev 1)|.zip|7310266
Doom 64 (USA)|.zip|7306335
Doraemon - Nobita to 3tsu no Seireiseki (Japan)|.zip|4701267
Doraemon 2 - Nobita to Hikari no Shinden (Japan)|.zip|7547320
Doraemon 3 - Nobita no Machi SOS! (Japan)|.zip|12242013
Doubutsu Banchou (Japan) (Proto)|.zip|12364266
Doubutsu no Mori (Japan)|.zip|11322027
Dr. Mario 64 (USA) (LodgeNet)|.zip|3044618
Dr. Mario 64 (USA)|.zip|3042418
Dragon King (World) (Pirate)|.zip|122208
Dragon Sword 64 (Europe) (Proto)|.zip|7405902
Dragon Sword 64 (USA) (Proto) (1999-08-25)|.zip|9730043
Dual Heroes (Europe)|.zip|8046369
Dual Heroes (Japan)|.zip|8279848
Dual Heroes (USA)|.zip|8036203
Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es) (Beta 1)|.zip|13334195
Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es) (Beta 2) (2000-03-07)|.zip|13382582
Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es)|.zip|13303454
Duke Nukem - Zero Hour (Europe)|.zip|24959940
Duke Nukem - Zero Hour (France)|.zip|24960947
Duke Nukem - Zero Hour (USA) (Beta)|.zip|24962725
Duke Nukem - Zero Hour (USA)|.zip|24960332
Duke Nukem 64 (Europe) (Beta)|.zip|7472900
Duke Nukem 64 (Europe)|.zip|7474423
Duke Nukem 64 (France)|.zip|7400937
Duke Nukem 64 (USA)|.zip|7474182
ECW Hardcore Revolution (Europe)|.zip|31730061
ECW Hardcore Revolution (Germany)|.zip|31727800
ECW Hardcore Revolution (USA) (Beta)|.zip|64262837
ECW Hardcore Revolution (USA)|.zip|31729463
EEPROM &amp; SRAM Erase Program (USA) (v1.2) (LodgeNet)|.zip|31281
Earthworm Jim 3D (Europe) (En,Fr,De,Es,It)|.zip|11309404
Earthworm Jim 3D (USA)|.zip|11248081
Eikou no Saint Andrews (Japan)|.zip|6328735
Eltale Monsters (Japan)|.zip|6925478
Evil Australians (World) (Demo) (Aftermarket) (Unl)|.zip|8170752
Excitebike 64 (Europe)|.zip|15737615
Excitebike 64 (Japan)|.zip|15747458
Excitebike 64 (USA) (Demo) (Kiosk)|.zip|15670497
Excitebike 64 (USA) (LodgeNet)|.zip|15735343
Excitebike 64 (USA) (Rev 1)|.zip|15734992
Excitebike 64 (USA)|.zip|15743948
Extreme-G (Europe) (En,Fr,De,Es,It)|.zip|7985984
Extreme-G (Japan)|.zip|8035357
Extreme-G (USA)|.zip|7980332
Extreme-G XG2 (Europe) (En,Fr,De,Es,It)|.zip|12000738
Extreme-G XG2 (Japan)|.zip|11999582
Extreme-G XG2 (USA)|.zip|11997400
F-1 World Grand Prix (Europe) (Beta)|.zip|9396561
F-1 World Grand Prix (Europe)|.zip|9392253
F-1 World Grand Prix (France)|.zip|9393081
F-1 World Grand Prix (Germany)|.zip|9398731
F-1 World Grand Prix (Japan)|.zip|9402083
F-1 World Grand Prix (USA)|.zip|9396542
F-1 World Grand Prix II (Europe) (En,Fr,De,Es)|.zip|9801497
F-Zero X (Europe)|.zip|12957835
F-Zero X (Japan)|.zip|12953606
F-Zero X (USA) (Beta) (The Legend of Zelda - Ocarina of Time leftover data)|.zip|16880293
F-Zero X (USA) (LodgeNet)|.zip|12957127
F-Zero X (USA)|.zip|12953815
F1 Pole Position 64 (Europe) (En,Fr,De)|.zip|6157525
F1 Pole Position 64 (USA) (En,Fr,De)|.zip|6156928
F1 Racing Championship (Brazil) (En,Fr)|.zip|14377754
F1 Racing Championship (Europe) (En,Fr,De,Es,It)|.zip|14354736
F1 Racing Championship (USA) (Beta)|.zip|14497930
FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,It,Nl,Sv)|.zip|10319585
FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv)|.zip|10413734
FIFA - Road to World Cup 98 - World Cup e no Michi (Japan)|.zip|10535981
FIFA 64 (Europe) (En,Fr,De)|.zip|6538973
FIFA 99 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)|.zip|13851712
FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)|.zip|14051302
FIFA Soccer 64 (USA) (En,Fr,De)|.zip|6538981
Famista 64 (Japan)|.zip|9359651
Fanger's Lightmare (World) (Demo) (N64brew Game Jam 2022) (Aftermarket) (Unl)|.zip|5148958
Featherlight (World) (v1.0) (Aftermarket) (Unl)|.zip|2611875
Featherlight (World) (v1.1) (N64brew Game Jam 2021) (Aftermarket) (Unl)|.zip|2612383
Featherlight (World) (v1.2) (Aftermarket) (Unl)|.zip|2612642
Featherlight (World) (v1.3) (Aftermarket) (Unl)|.zip|2612696
Fighter Destiny 2 (USA)|.zip|11657266
Fighters Destiny (Europe)|.zip|8915207
Fighters Destiny (France)|.zip|8907929
Fighters Destiny (Germany)|.zip|8909115
Fighters Destiny (USA)|.zip|8890764
Fighting Cup (Japan)|.zip|8874390
Fighting Force 64 (Europe)|.zip|9097969
Fighting Force 64 (USA)|.zip|10268053
Fission Failure 64 (World) (N64brew Game Jam 2021) (Aftermarket) (Unl)|.zip|10126761
Flappy Bird (World) (v1.0) (Aftermarket) (Unl)|.zip|546474
Flappy Bird (World) (v1.1) (Aftermarket) (Unl)|.zip|547399
Flappy Bird (World) (v1.2) (Aftermarket) (Unl)|.zip|302717
Flappy Bird (World) (v1.3) (Aftermarket) (Unl)|.zip|301611
Flappy Bird (World) (v1.4) (Aftermarket) (Unl)|.zip|301949
Flood64 (World) (En,Fr,Es) (Aftermarket) (Unl)|.zip|1361747
Flying Dragon (Europe)|.zip|9313571
Flying Dragon (USA)|.zip|9311683
Forsaken (Europe) (En,Fr,Es,It)|.zip|7003460
Forsaken (Germany)|.zip|6856170
Forsaken 64 (USA)|.zip|7003277
Fox Sports College Hoops '99 (USA)|.zip|9812828
Freak Boy (Unknown) (Proto)|.zip|2850323
Frogger 2 (USA) (Proto 1)|.zip|3646727
Frogger 2 (USA) (Proto 2)|.zip|3195459
Funnel Cube (World) (Demo) (Aftermarket) (Unl)|.zip|79213
Fushigi no Dungeon - Fuurai no Shiren 2 - Oni Shuurai! Shiren Jou! (Japan)|.zip|22191882
G.A.S.P!! Fighters' NEXTream (Europe)|.zip|8751129
G.A.S.P!! Fighters' NEXTream (Japan)|.zip|8749606
GT 64 - Championship Edition (Europe) (En,Fr,De)|.zip|4545173
GT 64 - Championship Edition (USA) (Beta) (1998-05-25)|.zip|4549486
GT 64 - Championship Edition (USA)|.zip|4452701
GameBooster 64 (Europe) (v1.1) (Unl)|.zip|221915
GameBooster 64 (USA) (v1.1) (Unl)|.zip|221913
GameShark Pro (USA) (v2.0) (Unl)|.zip|60600
GameShark Pro (USA) (v3.3) (Unl)|.zip|203213
Ganbare! Nippon! Olympics 2000 (Japan)|.zip|9191721
Ganbare Goemon - Dero Dero Douchuu Obake Tenkomori (Japan)|.zip|14659325
Ganbare Goemon - Neo Momoyama Bakufu no Odori (Japan)|.zip|13314479
Gauntlet Legends (Europe)|.zip|14665710
Gauntlet Legends (Japan)|.zip|14708177
Gauntlet Legends (USA) (LodgeNet)|.zip|14664791
Gauntlet Legends (USA)|.zip|14665582
Getter Love!! - Cho Renai Party Game Tanjou (Japan)|.zip|8442531
Gex 3 - Deep Cover Gecko (Europe) (En,Es,It)|.zip|24418162
Gex 3 - Deep Cover Gecko (Europe) (Fr,De)|.zip|28373085
Gex 3 - Deep Cover Gecko (USA)|.zip|26555932
Gex 64 - Enter the Gecko (Europe)|.zip|15422900
Gex 64 - Enter the Gecko (USA)|.zip|15223654
Glamorous Zombie Flakes (World) (Aftermarket) (Unl)|.zip|1451662
Glover (Europe) (En,Fr,De)|.zip|5860352
Glover (USA) (1998-07-16) (Beta) [b]|.zip|12775953
Glover (USA) (1998-09-04) (Beta)|.zip|5864374
Glover (USA) (En,Fr,De) (Aftermarket) (Unl)|.zip|5950380
Glover (USA)|.zip|5837142
Glover 2 (USA) (Proto 1)|.zip|4088261
Glover 2 (USA) (Proto 2)|.zip|5358848
Goemon's Great Adventure (USA)|.zip|14710516
Goemon - Mononoke Sugoroku (Japan)|.zip|13535393
GoldenEye 007 (Europe)|.zip|10763159
GoldenEye 007 (Japan) (Switch Online)|.zip|10755606
GoldenEye 007 (Japan)|.zip|10775022
GoldenEye 007 (USA)|.zip|10773748
GoldenEye 007 (USA, Europe) (Switch Online)|.zip|10754560
Golden Nugget 64 (USA)|.zip|5956372
HSV Adventure Racing! (Australia)|.zip|12610828
Hamster Monogatari 64 (Japan)|.zip|6626145
Harukanaru Augusta - Masters '98 (Japan)|.zip|13250203
Harvest Moon 64 (USA)|.zip|6561688
Heiwa Pachinko World 64 (Japan)|.zip|4486496
Hercules - The Legendary Journeys (Europe) (En,Fr,De,Es,It,Nl)|.zip|15190434
Hercules - The Legendary Journeys (USA) (Beta 1)|.zip|15251032
Hercules - The Legendary Journeys (USA) (Beta 2)|.zip|15250924
Hercules - The Legendary Journeys (USA)|.zip|15250851
Hexen (Europe)|.zip|7821959
Hexen (France)|.zip|7834254
Hexen (Germany)|.zip|7824293
Hexen (Japan)|.zip|7902861
Hexen (USA)|.zip|7834582
Hey You, Pikachu! (USA)|.zip|8957357
Hiryuu no Ken Twin (Japan)|.zip|9316705
Holy Magic Century (Europe)|.zip|6975334
Holy Magic Century (France)|.zip|6967649
Holy Magic Century (Germany)|.zip|6960108
Hoshi no Kirby 64 (Japan) (Rev 1)|.zip|12177527
Hoshi no Kirby 64 (Japan) (Rev 2)|.zip|12176532
Hoshi no Kirby 64 (Japan) (Rev 3)|.zip|12176497
Hoshi no Kirby 64 (Japan)|.zip|12177528
Hot Wheels - Turbo Racing (Europe) (En,Fr,De)|.zip|13179642
Hot Wheels - Turbo Racing (USA)|.zip|11335479
Human Grand Prix - The New Generation (Japan)|.zip|6295997
Hybrid Heaven (Europe) (En,Fr,De)|.zip|11803269
Hybrid Heaven (Japan)|.zip|11685847
Hybrid Heaven (USA)|.zip|11666425
Hydro Thunder (Europe)|.zip|19698407
Hydro Thunder (France)|.zip|19708995
Hydro Thunder (USA) (LodgeNet)|.zip|19702454
Hydro Thunder (USA)|.zip|19629581
Hyper Olympics in Nagano 64 (Japan)|.zip|9905455
Ide Yosuke no Mahjong Juku (Japan)|.zip|4233289
Iggy's Reckin' Balls (Europe)|.zip|3876953
Iggy's Reckin' Balls (USA) (Beta)|.zip|3877283
Iggy's Reckin' Balls (USA)|.zip|3876834
Iggy-kun no Bura Bura Poyon (Japan)|.zip|3872789
In-Fisherman - Bass Hunter 64 (Europe)|.zip|3024796
In-Fisherman - Bass Hunter 64 (USA)|.zip|3016911
Indiana Jones and the Infernal Machine (Australia) (Proto)|.zip|27482411
Indiana Jones and the Infernal Machine (USA)|.zip|27482731
Indy Racing 2000 (USA)|.zip|10604949
International Superstar Soccer '98 (Europe) (Beta) (1998-03-02)|.zip|12856237
International Superstar Soccer '98 (Europe)|.zip|9336456
International Superstar Soccer '98 (USA)|.zip|9333267
International Superstar Soccer 64 (Europe)|.zip|6533257
International Superstar Soccer 64 (USA)|.zip|6526906
International Superstar Soccer 2000 (Europe) (En,De)|.zip|11841143
International Superstar Soccer 2000 (Europe) (Fr,It)|.zip|11812371
International Superstar Soccer 2000 (USA) (En,Es) (Rev 1)|.zip|11562696
International Superstar Soccer 2000 (USA) (En,Es)|.zip|11562382
International Track &amp; Field - Summer Games (Europe) (En,Fr,De)|.zip|9219774
International Track &amp; Field 2000 (USA)|.zip|9184835
Itoi Shigesato no Bass Tsuri No. 1 Kettei Ban! (Japan)|.zip|9860431
J.League Dynamite Soccer 64 (Japan)|.zip|3884984
J.League Eleven Beat 1997 (Japan)|.zip|6203919
J.League Live 64 (Japan)|.zip|4970883
J.League Tactics Soccer (Japan) (Rev 1)|.zip|6294226
J.League Tactics Soccer (Japan)|.zip|6294460
Jangou Simulation Mahjong Dou 64 (Japan)|.zip|3614968
Jeopardy! (USA)|.zip|2169439
Jeremy McGrath Supercross 2000 (Europe)|.zip|14128429
Jeremy McGrath Supercross 2000 (USA) (Beta)|.zip|14122367
Jeremy McGrath Supercross 2000 (USA)|.zip|14122628
Jet Force Gemini (Europe) (En,Fr,De,Es)|.zip|29677484
Jet Force Gemini (USA) (Demo) (Kiosk)|.zip|24699049
Jet Force Gemini (USA)|.zip|29786319
Jikkyou G1 Stable (Japan) (Rev 1)|.zip|10896886
Jikkyou G1 Stable (Japan)|.zip|10896974
Jikkyou J.League 1999 - Perfect Striker 2 (Japan) (Rev 1)|.zip|11915993
Jikkyou J.League 1999 - Perfect Striker 2 (Japan)|.zip|11916035
Jikkyou J.League Perfect Striker (Japan)|.zip|6527885
Jikkyou Powerful Pro Yakyuu - Basic Ban 2001 (Japan) (Rev 1)|.zip|13063139
Jikkyou Powerful Pro Yakyuu - Basic Ban 2001 (Japan)|.zip|13062751
Jikkyou Powerful Pro Yakyuu 4 (Japan) (Beta) (1996-11-30)|.zip|13288562
Jikkyou Powerful Pro Yakyuu 4 (Japan) (Rev 1)|.zip|9888554
Jikkyou Powerful Pro Yakyuu 4 (Japan)|.zip|9887534
Jikkyou Powerful Pro Yakyuu 5 (Japan) (Rev 1)|.zip|11978102
Jikkyou Powerful Pro Yakyuu 5 (Japan) (Rev 2)|.zip|11978162
Jikkyou Powerful Pro Yakyuu 5 (Japan)|.zip|11978976
Jikkyou Powerful Pro Yakyuu 6 (Japan) (Rev 1)|.zip|12914405
Jikkyou Powerful Pro Yakyuu 6 (Japan) (Rev 2)|.zip|12914403
Jikkyou Powerful Pro Yakyuu 6 (Japan)|.zip|12913949
Jikkyou Powerful Pro Yakyuu 2000 (Japan) (Rev 1)|.zip|13186041
Jikkyou Powerful Pro Yakyuu 2000 (Japan)|.zip|13180679
Jikkyou World Soccer - World Cup France '98 (Japan) (Rev 1)|.zip|13143538
Jikkyou World Soccer - World Cup France '98 (Japan) (Rev 2)|.zip|13143430
Jikkyou World Soccer - World Cup France '98 (Japan)|.zip|13143749
