game_name|game_ext|game_size
Best of the Best - Championship Karate (Europe) (Beta 1)|.zip|601491
Best of the Best - Championship Karate (Europe) (Beta 2)|.zip|601553
Best of the Best - Championship Karate (Europe)|.zip|601542
Best of the Best - Championship Karate (USA)|.zip|601627
Big Ichigeki! Pachi-Slot Daikouryaku (Japan)|.zip|334893
Big Ichigeki! Pachi-Slot Daikouryaku 2 - Universal Collection (Japan)|.zip|1002534
Big Sky Trooper (Europe)|.zip|558802
Big Sky Trooper (USA) (Beta 1)|.zip|574019
Big Sky Trooper (USA) (Beta 2)|.zip|557547
Big Sky Trooper (USA)|.zip|557523
Bijo to Yajuu (Japan)|.zip|733879
Bike Daisuki! Hashiriya Tamashii (Japan)|.zip|329810
Biker Mice from Mars (Europe) (Sample)|.zip|754107
Biker Mice from Mars (Europe)|.zip|754090
Biker Mice from Mars (USA)|.zip|750428
Bill Laimbeer's Combat Basketball (USA)|.zip|201856
Bill Walsh College Football (USA)|.zip|764570
Bing Bing! Bingo (Japan) (Beta)|.zip|642621
Bing Bing! Bingo (Japan)|.zip|642608
BioMetal (Europe)|.zip|459423
BioMetal (Japan) (En)|.zip|462738
BioMetal (USA)|.zip|459434
Bishin Densetsu Zoku (Japan)|.zip|1344748
Bishoujo Janshi Suchie-Pai (Japan) (Rev 1)|.zip|1234646
Bishoujo Janshi Suchie-Pai (Japan)|.zip|1234600
Bishoujo Senshi Sailor Moon (Japan)|.zip|1135487
Bishoujo Senshi Sailor Moon - Another Story (Japan)|.zip|2255478
Bishoujo Senshi Sailor Moon R (Japan)|.zip|1577369
Bishoujo Senshi Sailor Moon S - Jougai Rantou! Shuyaku Soudatsusen (Japan)|.zip|1549111
Bishoujo Senshi Sailor Moon S - Kondo wa Puzzle de Oshioki yo! (Japan)|.zip|346102
Bishoujo Senshi Sailor Moon S - Kurukkurin (Japan)|.zip|357277
Bishoujo Senshi Sailor Moon SuperS - Fuwafuwa Panic (Japan)|.zip|811399
Bishoujo Senshi Sailor Moon SuperS - Zenin Sanka!! Shuyaku Soudatsusen (Japan)|.zip|2008531
Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!! (Japan)|.zip|1522269
BlaZeon (Japan) (En)|.zip|540411
BlaZeon - The Bio-Cyborg Challenge (USA)|.zip|508762
Blackhawk (Europe) (En,Fr,De)|.zip|724298
Blackthorne (USA) (Beta) (CES)|.zip|707256
Blackthorne (USA) (Beta)|.zip|707235
Blackthorne (USA)|.zip|707267
Blackthorne - Fukushuu no Kuroki Toge (Japan)|.zip|709003
Blanco World Class Rugby (France) (En)|.zip|278305
Blazing Skies (Europe)|.zip|292377
Block Kuzushi (Japan)|.zip|321150
Blue Crystalrod, The (Japan)|.zip|1059859
Blues Brothers, The (Europe) (Beta)|.zip|304915
Blues Brothers, The (Europe)|.zip|308581
Blues Brothers, The (Japan)|.zip|308562
Blues Brothers, The (USA)|.zip|308594
Bobby's World (USA) (Proto)|.zip|650773
Bokujou Monogatari (Japan) (Rev 1)|.zip|923506
Bokujou Monogatari (Japan)|.zip|923414
Bomberman B-Daman (Japan)|.zip|533440
Bombuzal (Japan)|.zip|182225
Bonkers (USA)|.zip|734652
Bonkers - Hollywood Daisakusen! (Japan)|.zip|736205
Boogerman - A Pick and Flick Adventure (Europe)|.zip|1966276
Boogerman - A Pick and Flick Adventure (USA)|.zip|1966270
Borderline (World) (Aftermarket) (Unl)|.zip|169401
Borderline (World) (v0.8) (Beta) (Aftermarket) (Unl)|.zip|134352
Bounty Sword (Japan) (Beta) (1995-05-16)|.zip|1469621
Bounty Sword (Japan)|.zip|1462194
Boxing Legends of the Ring (Europe)|.zip|760791
Boxing Legends of the Ring (USA) (Beta)|.zip|761948
Boxing Legends of the Ring (USA)|.zip|760788
