game_name|game_ext|game_size
240p Test Suite (World) (v0.22) (BNROM) (Program) (Aftermarket) (Unl)|.zip|32560
240p Test Suite (World) (v0.22) (UNROM) (Program) (Aftermarket) (Unl)|.zip|32772
240p Test Suite (World) (v0.22-132) (BNROM) (Program) (Aftermarket) (Unl)|.zip|36171
240p Test Suite (World) (v0.22-132) (SGROM) (Program) (Aftermarket) (Unl)|.zip|36316
240p Test Suite (World) (v0.22-132) (TGROM) (Program) (Aftermarket) (Unl)|.zip|36268
240p Test Suite (World) (v0.22-132) (UNROM) (Program) (Aftermarket) (Unl)|.zip|36250
240p Test Suite (World) (v0.23) (BNROM) (Program) (Aftermarket) (Unl)|.zip|36175
240p Test Suite (World) (v0.23) (SGROM) (Program) (Aftermarket) (Unl)|.zip|36305
240p Test Suite (World) (v0.23) (TGROM) (Program) (Aftermarket) (Unl)|.zip|36276
240p Test Suite (World) (v0.23) (UNROM) (Program) (Aftermarket) (Unl)|.zip|36254
500-in-1 - Unchained Melody (Asia) (En) (Pirate)|.zip|112986
720 Degrees (USA)|.zip|73896
777 Lucky Bingo (Asia) (En) (Unl)|.zip|16379
777 Xingyun Lunpan (Asia) (Unl)|.zip|15660
999-in-1 (Asia) (En) (FC999) (Pirate)|.zip|32778
1000 Stars (World) (Proto) (Byte-Off 2020) (Aftermarket) (Unl)|.zip|38829
1007 Bolts (World) (Aftermarket) (Unl)|.zip|5420
1007 Bolts (World) (Beta) (Aftermarket) (Unl)|.zip|1196
1200-in-1 (Asia) (En) (Pirate)|.zip|340817
1942 (Japan, USA) (En)|.zip|25682
1943 (Japan) (FamicomBox)|.zip|80196
1943 - The Battle of Midway (Japan) (Beta)|.zip|73226
1943 - The Battle of Midway (USA) (Retro-Bit Generations)|.zip|79912
1943 - The Battle of Midway (USA)|.zip|79885
1943 - The Battle of Valhalla (Japan)|.zip|80219
1988 Jinpai Mali (Asia) (En) (Kaiser) (KS-7032) (Pirate)|.zip|65426
1991 Du Ma Racing (Asia) (Idea-Tek) (Unl)|.zip|32999
1991 Du Ma Racing (Asia) (Micro Genius) (Unl)|.zip|33011
1992 Gaishi 190-in-1 Hua Mian Xuan Guan (Asia) (En) (Pirate)|.zip|402695
1995 Super Value Collection 2-in-1 (Asia) (En) (QB-003) (Pirate) [b]|.zip|146619
1996 Aoyunhui Jingji Ban 24-in-1 (Asia) (En) (CK-008) (Pirate)|.zip|329543
1996 Yingyu CAI 3-in-1 (China) (Unl)|.zip|129916
1997 SUPER HIK 16-in-1 (Asia) (En) (Pirate)|.zip|519036
1999 - Hore, Mitakotoka! Seikimatsu (Japan)|.zip|152669
2010 Street Fighter (Japan)|.zip|175173
2048 (World) (Rev 5) (Aftermarket) (Unl)|.zip|8703
2600 AD (World) (Demo) (Byte-Off 2020) (Aftermarket) (Unl)|.zip|18636
6800000-in-1 (Asia) (En) (BS-5652) (Pirate)|.zip|542500
9999999-in-1 (Asia) (En) (Pirate)|.zip|116170
9999999-in-1 (Italy) (En) (Pirate)|.zip|121316
9999999-in-1 - World Series Championship (Asia) (En) (Pirate)|.zip|123781
10000000-in-1 Unchained Melody 95 (Asia) (En) (Pirate)|.zip|117298
ANNA (World) (Demo) (Aftermarket) (Unl)|.zip|23404
ANNA (World) (v2.0.0) (Demo) (Aftermarket) (Unl)|.zip|27547
ANNA (World) (v2.0.1) (Demo) (Aftermarket) (Unl)|.zip|27597
ANTR - Another NES Tetris Remake (World) (Aftermarket) (Unl)|.zip|4458
AO (World) (Demo) (Second Dimension) (Aftermarket) (Unl)|.zip|5127
A Ressha de Ikou (Japan)|.zip|42513
ASO - Armored Scrum Object (Japan) (En) (Sample)|.zip|31425
ASO - Armored Scrum Object (Japan) (En)|.zip|31521
AV Hanafuda Club (Japan) (Unl)|.zip|44479
AV Kyuukyoku Mahjong 2 (Asia) (Ja) (Ge De) (Unl)|.zip|93839
AV Kyuukyoku Mahjong 2 (Asia) (Ja) (Ka Sheng) (Unl)|.zip|89996
AV Mahjong Club (Asia) (Ja) (Unl)|.zip|53840
AV Mahjong Club (Japan) (Unl)|.zip|73184
AV Mahjong Club (Japan) (v1.1) (Unl)|.zip|73265
AV Mei Shaonu Zhanshi (Asia) (Unl)|.zip|311847
AV Pachi-Slot (Asia) (Ja) (Aftermarket) (Pirate)|.zip|62217
AV Pachi-Slot (Asia) (Ja) (Idea-Tek) (Unl)|.zip|52114
AV Pachi-Slot - Big Chance (Japan) (Rev 1) (Unl)|.zip|52161
AV Pachi-Slot - Big Chance (Japan) (Unl)|.zip|52125
AV Poker (Japan) (En) (Rev 1) (Unl)|.zip|45309
AV Poker (Japan) (En) (Unl)|.zip|46612
AV Poker (World) (Aftermarket) (Pirate)|.zip|56942
AV Soccer (Japan) (Unl)|.zip|53036
AV Super Real Pachinko (Japan) (Unl)|.zip|75716
Aa Yakyuu Jinsei Icchokusen (Japan)|.zip|285697
Abadox (Japan)|.zip|133900
Abadox - The Deadly Inner War (USA)|.zip|135018
Abarenbou Tengu (Japan)|.zip|131614
Abbaye des Morts, L' (World) (En,Ja,Fr,Es,Pt) (Aftermarket) (Unl)|.zip|53865
Aces - Iron Eagle III (Japan)|.zip|290886
Action 52 (USA) (Rev A) (Unl)|.zip|800766
Action 52 (USA) (Rev B) (Unl)|.zip|800760
Action 52 (USA) (Unl)|.zip|800471
Action 53 Function 16 - Volume One (World) (RC.1) (Aftermarket) (Unl)|.zip|259838
Action 53 Function 16 - Volume One (World) (RC.2) (Aftermarket) (Unl)|.zip|259924
Action 53 Vol. 3 - Revenge of the Twins (USA) (Limited Edition) (Aftermarket) (Unl)|.zip|493603
Action 53 Vol. 3 - Revenge of the Twins (World) (v1.3) (Aftermarket) (Unl)|.zip|493250
Action 53 Vol. 3 - Revenge of the Twins (World) (v1.5) (Aftermarket) (Unl)|.zip|493563
Action 53 Vol. 3 - Revenge of the Twins (World) (v1.5) (Disk 1) (Aftermarket) (Unl)|.zip|257030
Action 53 Vol. 3 - Revenge of the Twins (World) (v1.5) (Disk 2) (Aftermarket) (Unl)|.zip|249618
Action 53 Vol. 4 - Actually 54 (World) (Aftermarket) (Unl)|.zip|1138065
Action 53 Vol. 4 - Actually 54 (World) (Disk 1) (Aftermarket) (Unl)|.zip|298580
Action 53 Vol. 4 - Actually 54 (World) (Disk 2) (Aftermarket) (Unl)|.zip|307372
Action 53 Vol. 4 - Actually 54 (World) (Disk 3) (Aftermarket) (Unl)|.zip|284338
Action 53 Vol. 4 - Actually 54 (World) (Disk 4) (Aftermarket) (Unl)|.zip|286439
Action in New York (Europe)|.zip|139127
Adam &amp; Eve (Asia) (En) (Mega Soft) (Unl)|.zip|20399
Adam &amp; Eve (Spain) (En) (NTDEC) (Unl)|.zip|20409
Addams Family, The (Europe) (En,Fr,De)|.zip|114719
Addams Family, The (USA)|.zip|118493
Addams Family, The - Pugsley's Scavenger Hunt (Europe) (Beta)|.zip|134716
Addams Family, The - Pugsley's Scavenger Hunt (Europe)|.zip|135562
Addams Family, The - Pugsley's Scavenger Hunt (USA)|.zip|135101
Addams Family, The - Uncle Fester's Quest (USA) (Beta)|.zip|105434
Advanced Dungeons &amp; Dragons - DragonStrike (USA)|.zip|173759
Advanced Dungeons &amp; Dragons - Dragons of Flame (Japan)|.zip|97042
Advanced Dungeons &amp; Dragons - Heroes of the Lance (Japan)|.zip|103585
Advanced Dungeons &amp; Dragons - Heroes of the Lance (USA) (Beta)|.zip|103075
Advanced Dungeons &amp; Dragons - Heroes of the Lance (USA)|.zip|103766
Advanced Dungeons &amp; Dragons - Hillsfar (Japan)|.zip|140205
Advanced Dungeons &amp; Dragons - Hillsfar (USA) (Beta)|.zip|142757
Advanced Dungeons &amp; Dragons - Hillsfar (USA)|.zip|141890
Advanced Dungeons &amp; Dragons - Pool of Radiance (Japan)|.zip|274625
Advanced Dungeons &amp; Dragons - Pool of Radiance (USA)|.zip|282811
Adventure (USA) (Atari Flashback) (Aftermarket) (Unl)|.zip|12008
Adventure Island (USA)|.zip|39119
Adventure Island 3 (USA)|.zip|141900
Adventure Island Classic (Europe)|.zip|39126
Adventure Island II (Asia) (En) (Pirate)|.zip|128877
Adventure Island II (USA) (Beta)|.zip|128837
Adventure Island II (USA)|.zip|128913
Adventure Island III (Europe) (Proto)|.zip|141913
Adventure Island Part II, The (Europe)|.zip|128896
Adventures in the Magic Kingdom (Europe)|.zip|135412
Adventures in the Magic Kingdom (USA) (Beta 1)|.zip|133713
Adventures in the Magic Kingdom (USA) (Beta 2)|.zip|134683
Adventures in the Magic Kingdom (USA)|.zip|135357
Adventures of Bayou Billy, The (Europe)|.zip|144250
Adventures of Bayou Billy, The (USA) (Virtual Console)|.zip|144111
Adventures of Bayou Billy, The (USA)|.zip|144071
Adventures of Dino Riki (USA)|.zip|39074
Adventures of Dr. Franken, The (USA) (Proto)|.zip|81766
Adventures of Eldorin (World) (Aftermarket) (Unl)|.zip|62302
Adventures of Eldorin (World) (Demo) (2021) (Aftermarket) (Unl)|.zip|64061
Adventures of Eldorin (World) (Demo) (Byte-Off 2019) (Aftermarket) (Unl)|.zip|61662
Adventures of Gilligan's Island, The (USA)|.zip|68136
Adventures of Lex and Grim, The (World) (Aftermarket) (Unl)|.zip|11076
Adventures of Lolo (Europe) (Virtual Console)|.zip|36250
Adventures of Lolo (Europe)|.zip|36215
Adventures of Lolo (Japan)|.zip|41851
Adventures of Lolo (USA) (Virtual Console)|.zip|36458
Adventures of Lolo (USA)|.zip|36421
Adventures of Lolo 2 (Europe) (Virtual Console)|.zip|42402
Adventures of Lolo 2 (Europe)|.zip|42367
Adventures of Lolo 2 (USA) (Virtual Console)|.zip|42349
Adventures of Lolo 2 (USA)|.zip|42314
Adventures of Lolo 3 (Europe)|.zip|130359
Adventures of Lolo 3 (USA)|.zip|130303
Adventures of Lolo II (Japan)|.zip|130432
Adventures of Mr. 2 and Puncher P., The (World) (Demo) (Byte-Off 2024) (Aftermarket) (Unl)|.zip|33963
Adventures of Panzer, The (World) (v1.2) (Demo) (Aftermarket) (Unl)|.zip|97417
Adventures of Panzer, The - DMuscles (World) (v1.3) (Proto) (Aftermarket) (Unl)|.zip|75119
Adventures of Panzer, The - DMuscles (World) (v1.4) (Proto) (Byte-Off 2022) (Aftermarket) (Unl)|.zip|75166
Adventures of Panzer, The - DMuscles (World) (v1.5) (Proto) (Aftermarket) (Unl)|.zip|74965
Adventures of Panzer, The - Frontiers (World) (v1.6) (Demo) (Aftermarket) (Unl)|.zip|86856
Adventures of Panzer, The - Frontiers (World) (v1.7) (Demo) (Aftermarket) (Unl)|.zip|86865
Adventures of Panzer, The - Frontiers (World) (v1.8) (Demo) (Aftermarket) (Unl)|.zip|86864
Adventures of Panzer, The - Frontiers (World) (v1.9) (Demo) (Byte-Off 2024) (Aftermarket) (Unl)|.zip|86895
Adventures of Panzer 2, The (World) (v0.6) (Beta) (Aftermarket) (Unl)|.zip|98539
Adventures of Panzer 3, The (World) (Demo 1) (Aftermarket) (Unl)|.zip|127246
Adventures of Panzer 3, The (World) (Demo 2) (Aftermarket) (Unl)|.zip|127244
