game_name|game_ext|game_size
Arkagis Revolution (World) (En,Fr,Es) (Digital) (Evercade) (Aftermarket) (Unl)|.zip|983476
Arkagis Revolution - Input Diagnostics (World) (Aftermarket) (Unl)|.zip|23477
Arnold Palmer Tournament Golf (USA, Europe) (Rev A) (Beta) (1990-03-22) (Sega Channel)|.zip|298081
Arnold Palmer Tournament Golf (USA, Europe)|.zip|297297
Arrow Flash (Japan, Europe) (En)|.zip|257695
Arrow Flash (USA)|.zip|257884
Art Alive (World) (Beta) (1991-09-20)|.zip|59561
Art Alive (World)|.zip|58851
Art of Fighting (Europe)|.zip|951495
Art of Fighting (USA) (Beta) (1994-07-11)|.zip|953478
Art of Fighting (USA)|.zip|953420
Asa Delta (Brazil) (Mega Drive 4)|.zip|70578
Astebros (World) (Demo) (Aftermarket) (Unl)|.zip|1787380
Astebros (World) (En) (v2.1) (Demo) (Aftermarket) (Unl)|.zip|2093435
Astebros (World) (En,Ja,Fr,De,Es,It,Pt-BR,Zh) (Demo) (2023-07-07) (Aftermarket) (Unl)|.zip|6445775
Astebros (World) (Fr) (v2.1) (Demo) (Aftermarket) (Unl)|.zip|2093426
Astebros (World) (v1.1) (Demo) (Aftermarket) (Unl)|.zip|1821670
Asteraoult Wars (World) (Fr) (Aftermarket) (Unl)|.zip|274330
Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It)|.zip|990498
Asterix and the Great Rescue (USA)|.zip|993313
Asterix and the Power of the Gods (Europe) (En,Fr,De,Es)|.zip|1108347
Asterix and the Power of the Gods (Europe) (En,Fr,De,Es,It) (Beta) (1994-02-xx)|.zip|917559
Atomic Robo-Kid (Japan)|.zip|198951
Atomic Robo-Kid (USA)|.zip|198575
Atomic Runner (Europe)|.zip|525707
Atomic Runner (USA)|.zip|525788
Attack of the PETSCII Robots (World) (v1.2) (Demo) (Aftermarket) (Unl)|.zip|490990
Australian Rugby League (Europe) (Beta)|.zip|657831
Australian Rugby League (Europe)|.zip|657390
Avuado (World) (Proto) (Aftermarket) (Unl)|.zip|191748
Awesome Possum (Japan) (En)|.zip|1245015
Awesome Possum... ...Kicks Dr. Machino's Butt (USA)|.zip|1265100
Awesome Possum Kicks Dr Machino's Butt! (USA) (Beta 1)|.zip|1217333
Awesome Possum Kicks Dr Machino's Butt! (USA) (Beta 2) (1993-07-12)|.zip|1265384
Awesome Possum Kicks Dr Machino's Butt! (USA) (Beta 3)|.zip|1265117
Aworg (Japan) (Game no Kanzume Vol. 2)|.zip|113343
Aworg (Japan) (SegaNet)|.zip|113873
Ayrton Senna's Super Monaco GP II (Japan, Europe) (En,Ja)|.zip|761757
Ayrton Senna's Super Monaco GP II (USA) (Beta)|.zip|723834
Ayrton Senna's Super Monaco GP II (USA) (En,Ja)|.zip|761833
B.O.B. (USA, Europe) (Beta)|.zip|630147
B.O.B. (USA, Europe)|.zip|641988
Baby's Day Out (USA) (Proto 1)|.zip|436231
Baby's Day Out (USA) (Proto 2)|.zip|563773
Baby Boom (USA) (Proto) (1994-06-03)|.zip|245811
Baby Boom (USA) (Proto) (1994-06-06)|.zip|246625
Baby Boom (USA) (Proto) (1994-08-11)|.zip|624132
Back to the Future Part III (Europe)|.zip|200200
Back to the Future Part III (USA)|.zip|201600
Bad Omen (Japan, Korea) (En)|.zip|329468
Bahamut Senki (Japan)|.zip|422887
Ball Jacks (Japan, Europe) (En)|.zip|155651
Ballz 3D - The Battle of the Ballz (USA, Europe) (Beta 1)|.zip|1112271
Ballz 3D - The Battle of the Ballz (USA, Europe) (Beta 2)|.zip|1084722
Ballz 3D - The Battle of the Ballz (USA, Europe)|.zip|1085334
Bao Long Tu - Violent Dragon Rabbit (World) (v0.2.25) (Proto) (Aftermarket) (Unl)|.zip|54956
Baoxiao Sanguo (Taiwan) (Unl) (Alt)|.zip|499879
Baoxiao Sanguo (Taiwan) (Unl)|.zip|501619
Barbarian (World) (F.L.) (Amiga 500) (Aftermarket) (Unl)|.zip|272469
Barbarian (World) (F.L.) (Amstrad CPC) (Aftermarket) (Unl)|.zip|962088
Barbarian (World) (F.L.) (Atari ST) (Aftermarket) (Unl)|.zip|1134307
Barbarian (World) (F.L.) (Commodore 64) (Aftermarket) (Unl)|.zip|1719245
Barbarian (World) (F.L.) (ZX Spectrum) (Aftermarket) (Unl)|.zip|512796
Barbarian (World) (Z-team) (Aftermarket) (Unl)|.zip|661729
Barbie Super Model (USA) (Beta) (1993-06-30)|.zip|329604
Barbie Super Model (USA)|.zip|380581
Barbie Vacation Adventure (USA) (Proto)|.zip|521250
Bare Knuckle II (Japan) (Beta)|.zip|334583
Bare Knuckle III (Japan) (Beta)|.zip|1768892
Bare Knuckle III (Japan)|.zip|1768888
Bare Knuckled Princess (World) (v0.1) (Proto) (bitbitJAM 2016) (Aftermarket) (Unl)|.zip|136234
Barkley Shut Up and Jam! (USA, Europe)|.zip|564373
Barkley Shut Up and Jam 2 (USA) (Beta)|.zip|1168550
Barkley Shut Up and Jam 2 (USA)|.zip|1183354
Barney's Hide &amp; Seek Game (USA) (Beta) (1993-09-18)|.zip|583766
Barney's Hide &amp; Seek Game (USA)|.zip|584112
Bass Masters Classic (USA)|.zip|725146
Bass Masters Classic - Pro Edition (USA)|.zip|1173995
Batalha Naval (Brazil) (Mega Drive 4)|.zip|47741
Batman (Europe)|.zip|303862
Batman (Japan)|.zip|303138
Batman - Revenge of the Joker (USA)|.zip|616812
Batman - The Video Game (USA)|.zip|303888
Batman Forever (World)|.zip|2148783
Batman Returns (World)|.zip|640454
Battle City (World) (Proto) (2020-04-22) (Aftermarket) (Pirate)|.zip|89374
Battle Golfer Yui (Japan)|.zip|273886
Battle Mania (Japan) (Beta) (1991-05-28)|.zip|297683
Battle Mania (Japan)|.zip|306231
Battle Mania Daiginjou (Japan, Korea) (Ja)|.zip|700476
Battle Squadron (USA, Europe) (Rev 1) (Beta) (1991-01-18) (Sega Channel)|.zip|260956
Battle Squadron (USA, Europe)|.zip|260871
Battlemaster (USA)|.zip|384855
Battletech - A Game of Armored Combat (USA)|.zip|824335
Battletoads (World)|.zip|359440
Battletoads-Double Dragon (USA)|.zip|471019
Beast Warriors (Japan)|.zip|686207
Beast Wrestler (Japan) (Beta) (1991-09-13)|.zip|685680
Beast Wrestler (USA)|.zip|685695
Beast Wrestler (World) (Evercade) (Aftermarket) (Unl)|.zip|684702
Beastball (Europe) (Proto)|.zip|406100
Beastball (World) (Evercade) (Aftermarket) (Unl)|.zip|406845
Beauty and the Beast - Belle's Quest (USA)|.zip|627252
Beauty and the Beast - Roar of the Beast (USA)|.zip|594653
Beavis and Butt-Head (Europe)|.zip|1131183
Beavis and Butt-Head (USA) (Beta)|.zip|1153702
Beavis and Butt-Head (USA)|.zip|1120326
Beethoven's 2nd - The Quest for Pups (USA) (Proto)|.zip|516808
Beggar Prince (World) (Aftermarket) (Unl)|.zip|2071562
Beggar Prince (World) (Rev 1) (Aftermarket) (Unl)|.zip|2071668
Ben 10 (Russia) (Aftermarket) (Unl)|.zip|256833
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-03-23)|.zip|496134
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-04-28)|.zip|560275
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-04-29)|.zip|558869
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-06)|.zip|561975
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-11)|.zip|574696
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-17)|.zip|575932
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-19)|.zip|577043
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-23)|.zip|577061
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-26)|.zip|578029
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-05-30)|.zip|578315
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-06-02)|.zip|578967
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-06-10)|.zip|579430
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-07-09)|.zip|583715
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-07-16)|.zip|583774
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-07-20)|.zip|584391
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-08-01)|.zip|584414
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-08-02)|.zip|584553
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-08-03)|.zip|584576
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-08-05)|.zip|584867
Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-08-08)|.zip|585048
Berenstain Bears' Camping Adventure, The (USA)|.zip|585005
Best of the Best - Championship Karate (Europe) (Proto)|.zip|498237
Best of the Best - Championship Karate (USA)|.zip|498436
Beyond Oasis (USA) (Beta) (1994-11-01)|.zip|1801855
Beyond Oasis (USA)|.zip|1802740
Beyond Zero Tolerance (USA) (Proto) (1995-06-23)|.zip|649269
Bible Adventures (USA) (Unl)|.zip|112273
Bil Bolha (Brazil) (Mega Drive 4)|.zip|60679
Bill's Tomato Game (USA) (Proto)|.zip|447596
Bill Walsh College Football (USA, Europe)|.zip|561551
Bill Walsh College Football 95 (USA)|.zip|917725
Bimini Run (USA)|.zip|310880
Bio Evil (World) (Demo 1) (Aftermarket) (Unl)|.zip|81409
Bio Evil (World) (Demo 2) (Aftermarket) (Unl)|.zip|362137
Bio Evil (World) (Demo 3) (Aftermarket) (Unl)|.zip|502170
Bio Hazard Battle (USA, Europe) (Beta 1)|.zip|357969
Bio Hazard Battle (USA, Europe) (Beta 2) (1992-08-xx)|.zip|582367
Bio Hazard Battle (USA, Europe)|.zip|582520
Bishoujo Senshi Sailor Moon (Japan)|.zip|1104105
Black Baron (World) (v4) (Proto) (Aftermarket) (Unl)|.zip|892051
Black Jewel Reborn (World) (v0.2) (Demo) (Aftermarket) (Unl)|.zip|914815
Blades of Vengeance (USA, Europe)|.zip|580771
Blaster Master 2 (USA) (Beta)|.zip|410552
Blaster Master 2 (USA)|.zip|410757
Blockbuster World Video Game Championship II (USA)|.zip|2248203
Blockout (World)|.zip|70003
Bloodshot (Europe) (En,Fr,De,Es)|.zip|493627
Blue Almanac (Japan)|.zip|520453
Body Count (Brazil) (En) (Beta) (1994-01-27)|.zip|395755
Body Count (Brazil) (En) (Beta) (1994-02-08)|.zip|395984
Body Count (Brazil) (En) (Beta) (1994-03-03)|.zip|396004
Body Count (Brazil) (En) (Beta) (1994-03-08)|.zip|396053
Body Count (Brazil) (En)|.zip|395951
Body Count (Europe) (En,Fr,De,Es,It) (Beta)|.zip|395931
Body Count (Europe) (En,Fr,De,Es,It)|.zip|395799
Bomber (Europe) (Sega Reactor)|.zip|35882
Bomber (USA) (Sega Gopher)|.zip|35884
Bomb on Basic City (World) (En) (Demo) (Aftermarket) (Unl)|.zip|809133
Bomb on Basic City (World) (En,Fr) (Aftermarket) (Unl)|.zip|803828
Bomb on Basic City - Special Edition + Papi Commando Tennis Demo (World) (En,Fr) (Aftermarket) (Unl)|.zip|1286441
Bonanza Bros. (Japan, Europe) (En) (Rev A)|.zip|197773
Bonanza Bros. (Japan, Europe) (En)|.zip|201046
Bonanza Bros. (USA, Europe, Korea) (En) (Rev B)|.zip|204281
Bone Marrow (World) (En,Ru) (Demo) (Aftermarket) (Unl) (Alt)|.zip|1122447
Bone Marrow (World) (En,Ru) (Demo) (Aftermarket) (Unl)|.zip|973472
Bone Marrow Rebirth (World) (En,Ru) (Demo) (Aftermarket) (Unl)|.zip|961623
