game_id|game_name|game_info|game_size
cairblad.zip|Change Air Blade|12.9M - Shoot 'em up/2p - (c)1999 Sammy Studios|13533920
calibr50.zip|Caliber .50 (also known as Far East)|2.1M - Run and gun/2p - (c)1989 Romstar|2214000
cameltry.zip|Cameltry (also known as On the Ball)|458.8K - Puzzle/2p - (c)1990 Taito|469785
canyon.zip|Canyon Bomber|3.4K - Action/2p - (c)1977 Atari|3510
capbowl.zip|Capcom Bowling (also known as Coors Light Bowling)|93.9K - Sports/4p - (c)1988 Capcom|96130
captavenu.zip|Captain America and the Avengers|7.1M - Beat 'em up/4p - (c)1991 Data East|7450238
captcomm.zip|Captain Commando|2.4M - Beat 'em up/4p - (c)1991 Capcom|2542116
cawing.zip|Carrier Air Wing (also known as U.S. Navy)|1.4M - Shoot 'em up/2p - (c)1990 Capcom|1440062
cbombers.zip|Chase Bombers|10.6M - Racing/2p - (c)1994 Taito|11069075
ccastles.zip|Crystal Castles|27.4K - Action/2p - (c)1983 Atari|28065
cclimber.zip|Crazy Climber|27.9K - Platform/2p - (c)1980 Taito|28613
cclimbr2.zip|Crazy Climber 2|323.4K - Platform/2p - (c)1988 Nichibutsu|331133
centiped.zip|Centipede|8.5K - Shoot 'em up/2p - (c)1981 Atari|8739
chainrec.zip|Chain Reaction (also known as Magical Drop)|2.9M - Puzzle/2p - (c)1995 Data East|3015121
chameleo.zip|Chameleon|26.6K - Platform/2p - (c)1983 Jaleco|27192
champwr.zip|Champion Wrestler|882.9K - Sports/2p - (c)1989 Taito|904071
charlien.zip|Charlie Ninja|3.5M - Run and gun/2p - (c)1994 Mitchell|3708127
chasehq.zip|Chase H.Q.|3.6M - Racing/1p - (c)1988 Taito|3737788
chelnov.zip|Atomic Runner Chelnov|278.0K - Run and gun/2p - (c)1988 Data East|284711
chinagat.zip|China Gate|653.9K - Beat 'em up/2p - (c)1988 Technos|669629
chopliftu.zip|Choplifter|134.5K - Shoot 'em up/1p - (c)1985 Sega|137735
chopper.zip|Chopper I|412.2K - Shoot 'em up/2p - (c)1988 SNK|422139
chukatai.zip|Chuuka Taisen (also known as Cloud Master)|500.2K - Shoot 'em up/2p - (c)1988 Taito|512238
circusc.zip|Circus Charlie|61.1K - Action/2p - (c)1984 Centuri|62577
citybomb.zip|City Bomber|592.8K - Vehicular combat/2p - (c)1987 Konami|607022
citycon.zip|City Connection (also known as Cruisin')|109.8K - Platform/2p - (c)1985 Jaleco|112451
clapapa.zip|Rootin' Tootin' (also known as La-Pa-Pa)|18.7K - Action/2p - (c)1983 Data East|19143
cleopatr.zip|Cleopatra Fortune|2.8M - Puzzle/2p - (c)1997 Taito|2975355
cninja.zip|Caveman Ninja (also known as Joe & Mac)|2.2M - Platform/2p - (c)1991 Data East|2318687
cobracom.zip|Cobra Command|319.3K - Shoot 'em up/2p - (c)1988 Data East|326935
commando.zip|Commando|132.2K - Run and gun/1p - (c)1985 Data East|135332
congo.zip|Congo Bongo (also known as Tip Top)|54.7K - Platform/2p - (c)1983 Sega|56062
contcirc.zip|Continental Circuit (also known as Continental Circus)|1.9M - Racing/1p - (c)1987 Taito|1987494
contra.zip|Contra (also known as Gryzor)|379.3K - Run and gun/2p - (c)1987 Konami|388410
cosmccop.zip|Cosmic Cop (also known as Gallop: Armed Police Unit)|695.9K - Shoot 'em up/2p - (c)1991 Irem|712631
cosmogng.zip|Cosmo Gang: The Video|1.7M - Shoot 'em up/2p - (c)1991 Namco|1834076
cotton.zip|Cotton: Fantastic Night Dreams|1.0M - Shoot 'em up/1p - (c)1991 Sega|1095672
crbaloon.zip|Crazy Balloon|10.8K - Action/2p - (c)1980 Taito|11105
crimec.zip|Crime City|890.8K - Run and gun/2p - (c)1989 Taito|912179
crimfght.zip|Crime Fighters|900.2K - Beat 'em up/2p - (c)1989 Konami|921771
crkdown.zip|Crack Down|924.7K - Run and gun/2p - (c)1989 Sega|946932
crshrace.zip|Lethal Crash Race|4.1M - Racing/2p - (c)1993 McO'River|4288474
